TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,51.1,21.9,32,29.99,10.0,WNW,8.1,-,N/A,,Partly Cloudy,300,2012-01-02 05:51:00
1:51 AM,48.0,21.9,36,29.98,10.0,NW,8.1,-,N/A,,Partly Cloudy,310,2012-01-02 06:51:00
2:51 AM,46.9,19.9,34,29.98,10.0,NW,9.2,23.0,N/A,,Clear,310,2012-01-02 07:51:00
